Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.5020E+03 .6443E-01 .7653E-01 .1210E-01 .1210E-01 .6443E-01 .7653E-01
.5030E+03 .6665E-01 .7914E-01 .1249E-01 .1249E-01 .6665E-01 .7914E-01
.5040E+03 .6095E-01 .7159E-01 .1064E-01 .1064E-01 .6095E-01 .7159E-01
.5050E+03 .6573E-01 .7841E-01 .1268E-01 .1268E-01 .6573E-01 .7841E-01
.5060E+03 .6804E-01 .8122E-01 .1318E-01 .1318E-01 .6804E-01 .8122E-01
.5070E+03 .6497E-01 .7764E-01 .1267E-01 .1267E-01 .6497E-01 .7764E-01
.5080E+03 .6344E-01 .7613E-01 .1270E-01 .1270E-01 .6344E-01 .7613E-01
.5090E+03 .6661E-01 .8025E-01 .1363E-01 .1363E-01 .6661E-01 .8025E-01
.5100E+03 .6494E-01 .7852E-01 .1358E-01 .1358E-01 .6494E-01 .7852E-01
.5110E+03 .6616E-01 .8036E-01 .1421E-01 .1421E-01 .6616E-01 .8036E-01
.5120E+03 .6775E-01 .8262E-01 .1486E-01 .1486E-01 .6775E-01 .8262E-01
.5130E+03 .6341E-01 .7758E-01 .1417E-01 .1417E-01 .6341E-01 .7758E-01
.5140E+03 .6179E-01 .7586E-01 .1408E-01 .1408E-01 .6179E-01 .7586E-01
.5150E+03 .6325E-01 .7788E-01 .1463E-01 .1463E-01 .6325E-01 .7788E-01
.5160E+03 .6353E-01 .7843E-01 .1489E-01 .1489E-01 .6353E-01 .7843E-01
.5170E+03 .5155E-01 .6383E-01 .1228E-01 .1228E-01 .5155E-01 .6383E-01
.5180E+03 .5871E-01 .7288E-01 .1416E-01 .1416E-01 .5871E-01 .7288E-01
.5190E+03 .5666E-01 .7048E-01 .1383E-01 .1383E-01 .5666E-01 .7048E-01
.5200E+03 .6155E-01 .7674E-01 .1519E-01 .1519E-01 .6155E-01 .7674E-01
.5210E+03 .6164E-01 .7705E-01 .1541E-01 .1541E-01 .6164E-01 .7705E-01
.5220E+03 .6260E-01 .7845E-01 .1585E-01 .1585E-01 .6260E-01 .7845E-01
.5230E+03 .5868E-01 .7373E-01 .1505E-01 .1505E-01 .5868E-01 .7373E-01
.5240E+03 .6256E-01 .7873E-01 .1618E-01 .1618E-01 .6256E-01 .7873E-01
.5250E+03 .6150E-01 .7753E-01 .1603E-01 .1603E-01 .6150E-01 .7753E-01
.5260E+03 .5932E-01 .7508E-01 .1575E-01 .1575E-01 .5932E-01 .7508E-01
.5270E+03 .5138E-01 .6511E-01 .1373E-01 .1373E-01 .5138E-01 .6511E-01
.5280E+03 .5832E-01 .7412E-01 .1580E-01 .1580E-01 .5832E-01 .7411E-01
.5290E+03 .6054E-01 .7707E-01 .1653E-01 .1653E-01 .6053E-01 .7706E-01
.5300E+03 .5776E-01 .7375E-01 .1599E-01 .1599E-01 .5775E-01 .7374E-01
.5310E+03 .6049E-01 .7747E-01 .1698E-01 .1698E-01 .6048E-01 .7746E-01
.5320E+03 .5907E-01 .7588E-01 .1681E-01 .1681E-01 .5906E-01 .7587E-01
.5330E+03 .5252E-01 .6766E-01 .1514E-01 .1514E-01 .5251E-01 .6765E-01
.5340E+03 .5608E-01 .7249E-01 .1640E-01 .1640E-01 .5607E-01 .7247E-01
.5350E+03 .5682E-01 .7366E-01 .1684E-01 .1684E-01 .5680E-01 .7364E-01
.5360E+03 .5913E-01 .7687E-01 .1774E-01 .1774E-01 .5911E-01 .7685E-01
.5370E+03 .5460E-01 .7121E-01 .1661E-01 .1661E-01 .5458E-01 .7119E-01
.5380E+03 .5715E-01 .7474E-01 .1759E-01 .1759E-01 .5713E-01 .7472E-01
.5390E+03 .5550E-01 .7279E-01 .1729E-01 .1729E-01 .5548E-01 .7276E-01
.5400E+03 .5327E-01 .6989E-01 .1662E-01 .1662E-01 .5324E-01 .6987E-01
.5410E+03 .5076E-01 .6632E-01 .1556E-01 .1556E-01 .5073E-01 .6629E-01
.5420E+03 .5489E-01 .7188E-01 .1699E-01 .1699E-01 .5486E-01 .7184E-01
.5430E+03 .5384E-01 .7124E-01 .1740E-01 .1740E-01 .5380E-01 .7120E-01
.5440E+03 .5528E-01 .7295E-01 .1767E-01 .1767E-01 .5524E-01 .7291E-01
.5450E+03 .5381E-01 .7134E-01 .1753E-01 .1753E-01 .5377E-01 .7130E-01
.5460E+03 .5291E-01 .6989E-01 .1698E-01 .1698E-01 .5287E-01 .6985E-01
.5470E+03 .5350E-01 .7122E-01 .1772E-01 .1772E-01 .5346E-01 .7118E-01
.5480E+03 .5183E-01 .6939E-01 .1756E-01 .1756E-01 .5178E-01 .6935E-01
.5490E+03 .5328E-01 .7168E-01 .1840E-01 .1840E-01 .5323E-01 .7163E-01
.5500E+03 .5265E-01 .7109E-01 .1845E-01 .1845E-01 .5260E-01 .7104E-01
.5510E+03 .5239E-01 .7105E-01 .1866E-01 .1866E-01 .5234E-01 .7100E-01
.5520E+03 .5325E-01 .7248E-01 .1922E-01 .1922E-01 .5320E-01 .7242E-01
.5530E+03 .5151E-01 .7027E-01 .1876E-01 .1876E-01 .5145E-01 .7022E-01
.5540E+03 .5226E-01 .7150E-01 .1924E-01 .1924E-01 .5220E-01 .7144E-01
.5550E+03 .5225E-01 .7165E-01 .1940E-01 .1940E-01 .5219E-01 .7159E-01
.5560E+03 .5106E-01 .7019E-01 .1913E-01 .1913E-01 .5100E-01 .7013E-01
.5570E+03 .4949E-01 .6820E-01 .1871E-01 .1871E-01 .4943E-01 .6814E-01
.5580E+03 .5017E-01 .6927E-01 .1910E-01 .1910E-01 .5011E-01 .6921E-01
.5590E+03 .4708E-01 .6514E-01 .1806E-01 .1806E-01 .4702E-01 .6507E-01
.5600E+03 .4754E-01 .6599E-01 .1845E-01 .1845E-01 .4748E-01 .6593E-01
.5610E+03 .4991E-01 .6949E-01 .1958E-01 .1958E-01 .4984E-01 .6942E-01
.5620E+03 .4713E-01 .6576E-01 .1863E-01 .1863E-01 .4706E-01 .6569E-01
.5630E+03 .4853E-01 .6783E-01 .1930E-01 .1930E-01 .4846E-01 .6776E-01
.5640E+03 .4727E-01 .6616E-01 .1889E-01 .1889E-01 .4720E-01 .6609E-01
.5650E+03 .4727E-01 .6626E-01 .1899E-01 .1899E-01 .4720E-01 .6619E-01
.5660E+03 .4445E-01 .6236E-01 .1792E-01 .1792E-01 .4438E-01 .6229E-01
.5670E+03 .4707E-01 .6602E-01 .1895E-01 .1895E-01 .4699E-01 .6594E-01
.5680E+03 .4620E-01 .6421E-01 .1801E-01 .1801E-01 .4612E-01 .6414E-01
.5690E+03 .4436E-01 .6051E-01 .1614E-01 .1614E-01 .4429E-01 .6043E-01
.5700E+03 .4438E-01 .6108E-01 .1670E-01 .1670E-01 .4430E-01 .6100E-01
.5710E+03 .4297E-01 .5992E-01 .1695E-01 .1695E-01 .4290E-01 .5984E-01
.5720E+03 .4489E-01 .6192E-01 .1703E-01 .1703E-01 .4480E-01 .6183E-01
.5730E+03 .4491E-01 .6206E-01 .1716E-01 .1716E-01 .4482E-01 .6198E-01
.5740E+03 .4454E-01 .6159E-01 .1705E-01 .1705E-01 .4445E-01 .6150E-01
.5750E+03 .4339E-01 .5985E-01 .1646E-01 .1646E-01 .4330E-01 .5977E-01
.5760E+03 .4300E-01 .5945E-01 .1645E-01 .1645E-01 .4291E-01 .5936E-01
.5770E+03 .4407E-01 .6111E-01 .1704E-01 .1704E-01 .4398E-01 .6102E-01
.5780E+03 .4277E-01 .5981E-01 .1704E-01 .1704E-01 .4268E-01 .5972E-01
.5790E+03 .4343E-01 .6136E-01 .1793E-01 .1793E-01 .4333E-01 .6126E-01
.5800E+03 .4417E-01 .6319E-01 .1902E-01 .1902E-01 .4408E-01 .6310E-01
.5810E+03 .4440E-01 .6418E-01 .1977E-01 .1977E-01 .4430E-01 .6408E-01
.5820E+03 .4507E-01 .6571E-01 .2063E-01 .2063E-01 .4497E-01 .6560E-01
.5830E+03 .4550E-01 .6688E-01 .2137E-01 .2137E-01 .4540E-01 .6677E-01
.5840E+03 .4533E-01 .6694E-01 .2162E-01 .2162E-01 .4522E-01 .6683E-01
.5850E+03 .4487E-01 .6652E-01 .2165E-01 .2165E-01 .4476E-01 .6641E-01
.5860E+03 .4361E-01 .6460E-01 .2098E-01 .2098E-01 .4351E-01 .6449E-01
.5870E+03 .4426E-01 .6485E-01 .2059E-01 .2059E-01 .4415E-01 .6473E-01
.5880E+03 .4232E-01 .5982E-01 .1749E-01 .1749E-01 .4221E-01 .5971E-01
.5890E+03 .3535E-01 .4799E-01 .1264E-01 .1264E-01 .3526E-01 .4790E-01
.5900E+03 .3748E-01 .5078E-01 .1330E-01 .1330E-01 .3738E-01 .5068E-01
.5910E+03 .4046E-01 .5605E-01 .1559E-01 .1559E-01 .4035E-01 .5594E-01
.5920E+03 .3912E-01 .5426E-01 .1515E-01 .1515E-01 .3901E-01 .5416E-01
.5930E+03 .3996E-01 .5710E-01 .1714E-01 .1714E-01 .3985E-01 .5699E-01
.5940E+03 .3931E-01 .5629E-01 .1699E-01 .1699E-01 .3919E-01 .5618E-01
.5950E+03 .3813E-01 .5353E-01 .1540E-01 .1540E-01 .3802E-01 .5342E-01
.5960E+03 .3992E-01 .5834E-01 .1843E-01 .1843E-01 .3980E-01 .5823E-01
.5970E+03 .3963E-01 .5789E-01 .1826E-01 .1826E-01 .3951E-01 .5777E-01
.5980E+03 .3906E-01 .5776E-01 .1870E-01 .1870E-01 .3894E-01 .5764E-01
.5990E+03 .3894E-01 .5837E-01 .1943E-01 .1943E-01 .3882E-01 .5825E-01
.6000E+03 .3938E-01 .6019E-01 .2081E-01 .2081E-01 .3925E-01 .6007E-01
.6010E+03 .3895E-01 .6057E-01 .2162E-01 .2162E-01 .3882E-01 .6044E-01
.6020E+03 .3827E-01 .5994E-01 .2166E-01 .2166E-01 .3815E-01 .5981E-01
.6030E+03 .3905E-01 .6156E-01 .2251E-01 .2251E-01 .3892E-01 .6144E-01
.6040E+03 .3971E-01 .6284E-01 .2314E-01 .2314E-01 .3957E-01 .6271E-01
.6050E+03 .3964E-01 .6308E-01 .2343E-01 .2343E-01 .3951E-01 .6294E-01
.6060E+03 .3947E-01 .6322E-01 .2374E-01 .2374E-01 .3934E-01 .6308E-01
.6070E+03 .3977E-01 .6409E-01 .2433E-01 .2433E-01 .3963E-01 .6395E-01
.6080E+03 .3971E-01 .6433E-01 .2462E-01 .2462E-01 .3957E-01 .6419E-01
.6090E+03 .3949E-01 .6422E-01 .2474E-01 .2474E-01 .3935E-01 .6408E-01
.6100E+03 .3940E-01 .6424E-01 .2484E-01 .2484E-01 .3926E-01 .6410E-01
.6110E+03 .3928E-01 .6425E-01 .2497E-01 .2497E-01 .3914E-01 .6411E-01
.6120E+03 .3995E-01 .6546E-01 .2551E-01 .2551E-01 .3980E-01 .6531E-01
.6130E+03 .3946E-01 .6476E-01 .2530E-01 .2530E-01 .3931E-01 .6461E-01
.6140E+03 .3833E-01 .6310E-01 .2477E-01 .2477E-01 .3818E-01 .6295E-01
.6150E+03 .3980E-01 .6578E-01 .2598E-01 .2598E-01 .3965E-01 .6563E-01
