Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.5260E+03 .2407E-01 .2454E-01 .4681E-03 .4681E-03 .2407E-01 .2454E-01
.5270E+03 .2089E-01 .2129E-01 .4072E-03 .4072E-03 .2089E-01 .2129E-01
.5280E+03 .2375E-01 .2423E-01 .4751E-03 .4751E-03 .2375E-01 .2422E-01
.5290E+03 .2470E-01 .2520E-01 .4988E-03 .4988E-03 .2470E-01 .2520E-01
.5300E+03 .2362E-01 .2411E-01 .4873E-03 .4873E-03 .2361E-01 .2410E-01
.5310E+03 .2479E-01 .2531E-01 .5229E-03 .5229E-03 .2477E-01 .2530E-01
.5320E+03 .2426E-01 .2478E-01 .5243E-03 .5243E-03 .2424E-01 .2477E-01
.5330E+03 .2162E-01 .2210E-01 .4776E-03 .4776E-03 .2160E-01 .2208E-01
.5340E+03 .2315E-01 .2367E-01 .5241E-03 .5241E-03 .2313E-01 .2365E-01
.5350E+03 .2351E-01 .2406E-01 .5458E-03 .5458E-03 .2349E-01 .2404E-01
.5360E+03 .2454E-01 .2512E-01 .5823E-03 .5823E-03 .2451E-01 .2509E-01
.5370E+03 .2271E-01 .2327E-01 .5527E-03 .5527E-03 .2269E-01 .2324E-01
.5380E+03 .2384E-01 .2443E-01 .5908E-03 .5908E-03 .2380E-01 .2440E-01
.5390E+03 .2320E-01 .2379E-01 .5852E-03 .5852E-03 .2317E-01 .2376E-01
.5400E+03 .2232E-01 .2288E-01 .5586E-03 .5586E-03 .2229E-01 .2285E-01
.5410E+03 .2132E-01 .2182E-01 .5045E-03 .5045E-03 .2128E-01 .2179E-01
.5420E+03 .2310E-01 .2366E-01 .5609E-03 .5609E-03 .2306E-01 .2362E-01
.5430E+03 .2271E-01 .2331E-01 .5996E-03 .5996E-03 .2266E-01 .2326E-01
.5440E+03 .2337E-01 .2397E-01 .5993E-03 .5993E-03 .2332E-01 .2392E-01
.5450E+03 .2280E-01 .2340E-01 .6027E-03 .6027E-03 .2275E-01 .2335E-01
.5460E+03 .2247E-01 .2304E-01 .5760E-03 .5760E-03 .2242E-01 .2299E-01
.5470E+03 .2277E-01 .2339E-01 .6197E-03 .6197E-03 .2272E-01 .2334E-01
.5480E+03 .2211E-01 .2275E-01 .6334E-03 .6334E-03 .2206E-01 .2269E-01
.5490E+03 .2278E-01 .2346E-01 .6755E-03 .6755E-03 .2272E-01 .2340E-01
.5500E+03 .2257E-01 .2325E-01 .6851E-03 .6851E-03 .2250E-01 .2319E-01
.5510E+03 .2251E-01 .2321E-01 .7046E-03 .7046E-03 .2244E-01 .2315E-01
.5520E+03 .2293E-01 .2367E-01 .7360E-03 .7360E-03 .2286E-01 .2360E-01
.5530E+03 .2223E-01 .2295E-01 .7244E-03 .7244E-03 .2216E-01 .2288E-01
.5540E+03 .2260E-01 .2335E-01 .7505E-03 .7505E-03 .2253E-01 .2328E-01
.5550E+03 .2265E-01 .2341E-01 .7615E-03 .7615E-03 .2257E-01 .2333E-01
.5560E+03 .2218E-01 .2294E-01 .7561E-03 .7561E-03 .2210E-01 .2286E-01
.5570E+03 .2154E-01 .2229E-01 .7442E-03 .7442E-03 .2146E-01 .2221E-01
.5580E+03 .2188E-01 .2264E-01 .7632E-03 .7632E-03 .2180E-01 .2256E-01
.5590E+03 .2057E-01 .2129E-01 .7243E-03 .7243E-03 .2049E-01 .2121E-01
.5600E+03 .2081E-01 .2155E-01 .7448E-03 .7448E-03 .2072E-01 .2147E-01
.5610E+03 .2188E-01 .2268E-01 .7946E-03 .7946E-03 .2179E-01 .2259E-01
.5620E+03 .2070E-01 .2146E-01 .7588E-03 .7588E-03 .2061E-01 .2137E-01
.5630E+03 .2135E-01 .2214E-01 .7868E-03 .7868E-03 .2126E-01 .2205E-01
.5640E+03 .2084E-01 .2161E-01 .7717E-03 .7717E-03 .2075E-01 .2152E-01
.5650E+03 .2088E-01 .2166E-01 .7768E-03 .7768E-03 .2078E-01 .2156E-01
.5660E+03 .1967E-01 .2040E-01 .7316E-03 .7316E-03 .1958E-01 .2031E-01
.5670E+03 .2087E-01 .2164E-01 .7680E-03 .7680E-03 .2077E-01 .2154E-01
.5680E+03 .2053E-01 .2122E-01 .6932E-03 .6932E-03 .2042E-01 .2112E-01
.5690E+03 .1975E-01 .2035E-01 .6065E-03 .6065E-03 .1964E-01 .2025E-01
.5700E+03 .1979E-01 .2042E-01 .6319E-03 .6319E-03 .1968E-01 .2032E-01
.5710E+03 .1920E-01 .1985E-01 .6556E-03 .6556E-03 .1909E-01 .1975E-01
.5720E+03 .2010E-01 .2074E-01 .6408E-03 .6408E-03 .1999E-01 .2063E-01
.5730E+03 .2016E-01 .2081E-01 .6478E-03 .6478E-03 .2005E-01 .2069E-01
.5740E+03 .2005E-01 .2069E-01 .6365E-03 .6365E-03 .1993E-01 .2057E-01
.5750E+03 .1959E-01 .2019E-01 .6066E-03 .6066E-03 .1947E-01 .2008E-01
.5760E+03 .1946E-01 .2007E-01 .6040E-03 .6040E-03 .1935E-01 .1995E-01
.5770E+03 .2001E-01 .2064E-01 .6297E-03 .6297E-03 .1988E-01 .2051E-01
.5780E+03 .1947E-01 .2013E-01 .6539E-03 .6539E-03 .1935E-01 .2000E-01
.5790E+03 .1983E-01 .2055E-01 .7191E-03 .7191E-03 .1970E-01 .2042E-01
.5800E+03 .2023E-01 .2103E-01 .8000E-03 .8000E-03 .2010E-01 .2090E-01
.5810E+03 .2040E-01 .2126E-01 .8654E-03 .8654E-03 .2026E-01 .2112E-01
.5820E+03 .2076E-01 .2169E-01 .9281E-03 .9281E-03 .2062E-01 .2155E-01
.5830E+03 .2102E-01 .2201E-01 .9866E-03 .9866E-03 .2087E-01 .2186E-01
.5840E+03 .2100E-01 .2201E-01 .1011E-02 .1011E-02 .2085E-01 .2186E-01
.5850E+03 .2084E-01 .2186E-01 .1022E-02 .1022E-02 .2069E-01 .2171E-01
.5860E+03 .2031E-01 .2130E-01 .9910E-03 .9910E-03 .2016E-01 .2115E-01
.5870E+03 .2067E-01 .2160E-01 .9367E-03 .9367E-03 .2051E-01 .2145E-01
.5880E+03 .1981E-01 .2057E-01 .7556E-03 .7556E-03 .1966E-01 .2042E-01
.5890E+03 .1659E-01 .1702E-01 .4292E-03 .4292E-03 .1646E-01 .1689E-01
.5900E+03 .1763E-01 .1807E-01 .4388E-03 .4388E-03 .1749E-01 .1793E-01
.5910E+03 .1908E-01 .1969E-01 .6088E-03 .6088E-03 .1893E-01 .1953E-01
.5920E+03 .1849E-01 .1904E-01 .5490E-03 .5490E-03 .1834E-01 .1889E-01
.5930E+03 .1893E-01 .1978E-01 .8566E-03 .8566E-03 .1877E-01 .1962E-01
.5940E+03 .1865E-01 .1934E-01 .6860E-03 .6860E-03 .1850E-01 .1918E-01
.5950E+03 .1813E-01 .1901E-01 .8779E-03 .8779E-03 .1798E-01 .1885E-01
.5960E+03 .1902E-01 .1989E-01 .8747E-03 .8747E-03 .1885E-01 .1973E-01
.5970E+03 .1892E-01 .1988E-01 .9608E-03 .9608E-03 .1875E-01 .1971E-01
.5980E+03 .1868E-01 .1956E-01 .8754E-03 .8754E-03 .1851E-01 .1939E-01
.5990E+03 .1866E-01 .1962E-01 .9604E-03 .9604E-03 .1849E-01 .1945E-01
.6000E+03 .1891E-01 .1996E-01 .1044E-02 .1044E-02 .1874E-01 .1978E-01
.6010E+03 .1875E-01 .1987E-01 .1120E-02 .1120E-02 .1857E-01 .1969E-01
